ds,y
7/25/2018 0:00,226868.91
7/26/2018 0:00,219570.63
7/27/2018 0:00,324991.89
7/28/2018 0:00,331664.8
7/29/2018 0:00,179645.16
7/30/2018 0:00,132135.06
7/31/2018 0:00,253494.08
8/1/2018 0:00,266673.46
8/2/2018 0:00,251349.47
8/3/2018 0:00,322061.25
8/4/2018 0:00,298042.19
8/5/2018 0:00,143181.04
8/6/2018 0:00,8095.71
8/7/2018 0:00,265007.46
8/8/2018 0:00,275642.62
8/9/2018 0:00,238668.15
8/10/2018 0:00,246150.19
8/11/2018 0:00,361243.78
8/12/2018 0:00,171859.1
8/13/2018 0:00,141990.65
8/14/2018 0:00,221860.26
8/15/2018 0:00,261606.62
8/16/2018 0:00,241671.91
8/17/2018 0:00,281490.35
8/18/2018 0:00,325192.85
8/19/2018 0:00,122916.41
8/20/2018 0:00,174995.88
8/21/2018 0:00,169900.87
8/22/2018 0:00,227362.13
8/23/2018 0:00,258247.16
8/24/2018 0:00,240640.13
8/25/2018 0:00,291188.65
8/26/2018 0:00,142157.88
8/27/2018 0:00,178790.05
8/28/2018 0:00,234719.14
8/29/2018 0:00,226413.82
8/30/2018 0:00,205413.51
8/31/2018 0:00,361102.88
9/1/2018 0:00,297807.59
9/2/2018 0:00,98990.33
9/4/2018 0:00,264954.73
9/5/2018 0:00,311955.38
9/6/2018 0:00,239898.54
9/7/2018 0:00,273940.19
9/8/2018 0:00,325533.68
9/9/2018 0:00,173850.53
9/10/2018 0:00,133430.55
9/11/2018 0:00,249022.08
9/12/2018 0:00,213740.81
9/13/2018 0:00,232694.62
9/14/2018 0:00,314976.57
9/15/2018 0:00,298877.48
9/16/2018 0:00,160417.61
9/17/2018 0:00,143045.93
9/18/2018 0:00,214260.8
9/19/2018 0:00,225760.95
9/20/2018 0:00,213273.01
9/21/2018 0:00,219427.12
9/22/2018 0:00,283100.23
9/23/2018 0:00,125062.58
9/24/2018 0:00,126096.81
9/25/2018 0:00,205861.7
9/26/2018 0:00,217041.07
9/27/2018 0:00,195314.17
9/28/2018 0:00,283144.72
9/29/2018 0:00,361884.15
9/30/2018 0:00,179492.74
10/1/2018 0:00,160378.46
10/2/2018 0:00,259919.32
10/3/2018 0:00,267250.23
10/4/2018 0:00,283238.98
10/5/2018 0:00,286441.66
10/6/2018 0:00,318640.92
10/7/2018 0:00,187186.06
10/9/2018 0:00,234388.71
10/10/2018 0:00,232470.93
10/11/2018 0:00,222472.67
10/12/2018 0:00,275918.91
10/13/2018 0:00,331028.6
10/14/2018 0:00,168235.95
10/15/2018 0:00,110612.16
10/16/2018 0:00,227856.85
10/17/2018 0:00,233288.93
10/18/2018 0:00,261956.27
10/19/2018 0:00,237373.59
10/20/2018 0:00,276981.98
10/21/2018 0:00,159298.4
10/22/2018 0:00,106400.29
10/23/2018 0:00,201006.58
10/24/2018 0:00,199556.69
10/25/2018 0:00,192000.47
10/26/2018 0:00,250416.01
10/27/2018 0:00,266430.53
10/28/2018 0:00,120893.71
10/29/2018 0:00,110268.13
10/30/2018 0:00,266991.84
10/31/2018 0:00,138860.8
11/1/2018 0:00,260758.71
11/2/2018 0:00,287311.85
11/3/2018 0:00,351664.04
11/4/2018 0:00,259321.5
11/5/2018 0:00,140418.55
11/6/2018 0:00,268662.69
